수오미,지휘관!
캐롤릭,얼른 타!
울리드,모두 무사해서 다행이군.
지휘관,"그로자, 뭐라도 생각났어?"
나레이션,"(나는 그로자를 부축해 차에 태운 뒤, 방금 무엇이 떠올랐는지 물어보았다.)"
그로자,......
나레이션,"(그로자의 상태는 누가 봐도 좋지 않았다. 그 와중에도 전투를 치러낸 게 대견하면서도, 걱정이 앞섰다.)"
지휘관,미안. 대답하기 힘들면 안 해도 돼. 일단 좀 쉬어. 최소한 다음 전투까진 체력을 보존해야 하니까.
그로자,"...아냐, 괜찮아."
나레이션,(그로자가 힘겹게 말을 꺼냈다.)
지휘관,말해 봐.
그로자,피...
지휘관,...뭐?
나레이션,(그로자의 두 손이 떨렸다.)
그로자,"피가... 내 손에, 온몸에... 피가... 잔뜩..."
그로자,화약 냄새...
나레이션,"(그로자가 그 말을 꺼낸 순간, 차 안의 모두가 숨을 죽였다.)"
지휘관,"그로자, 네 손은 지금 깨끗해. 괜찮아."
그로자,싫어... 내가... 왜 이러는 거지...
그로자,안 돼... 지휘관...
그로자,"...안 돼, 가까이 오지 마!!! 나... 난 위험해!!"
나레이션,(...위험하다고?)
나레이션,(나는 눈을 맞추고 그녀의 머릿속에서 어떤 광경이 펼쳐지고 있는지 엿보려고 했다.)
나레이션,"(그로자의 손은 멈추지 않고 떨렸고, 두 눈은 정말 손 안에 무언가 있는 것처럼 공포로 가득했다. 나는 조금이라도 그녀를 안정시키기 위해 손을 꽉 잡았다.)"
지휘관,"그로자, 내 말 들어. 네가 지금 뭘 보고 있든, 그건 진짜가 아니야."
그로자,지휘관...
그로자,지휘관...
나레이션,(그녀는 더 이상 대답하지 않고 그저 내 손을 잡을 뿐이었다. 이윽고 안심한 듯 내 어깨에 기대어 잠시 깊은 잠에 빠졌다.)
나레이션,"(그로자의 상태는 내가 가장 잘 알고 있다. 그녀의 마인드맵은 꽤 오랫동안 격렬하게 요동치고 있었다. 스스로 억누르고 있었고 참을성도 강했지만, 더는 가만히 둘 수 없었다.)"
나레이션,"(이번에 그녀를 데리고 나온 것도 그 때문이었다. 단순한 기분 전환뿐만 아니라, 무엇보다...)"
그로자,"■■■, ■■■......"
나레이션,퍼엉——!
나레이션,"(그때 그로자의 모습은 너무나도 결연했다. 그 후로 몇 번을 캐물어도 그녀는 끝내 입을 열지 않았다. 하지만 지금 생각해 보면, 그 이유는 아마...)"
나레이션,(“위험”하다...)
나레이션,(‘적양파’에 관해서 대체 어떤 일을 겪은 것일까?)
나레이션,(하지만 그런 이유라면 더더욱 그녀를 혼자 내버려둘 수 없다.)
지휘관,"미안해, 그로자. 괴로운 기억을 떠올리게 해서."
지휘관,"원래는 그냥, 거리를 구경하고 쇼핑도 하고... 좋아하는 춤도 같이 추면서, 편히 쉬게 해주고 싶었는데..."
나레이션,"(그녀에게 들리지 않더라도, 나는 나지막이 중얼거렸다.)"
그로자,......
나레이션,(그로자는 대답이 없었다.)
지휘관,"...괜찮아, 그동안 고생 많았어. 일단 돌아가자. 네가 신경 쓰고 있는 건, 내가 확실히 조사해 줄게."
지휘관,"수오미, 운전 부탁해."
시아,......
제약공장 보안팀,"빨리... 보스에게 전달해, 그... 지휘관이 알아챘다고."
시아,치료 중입니다. 충분히 안정을 취하세요.
시아,"...그리고, 그렇게 열심히 해 봐야, 조지 씨가 뭘 더 챙겨 주진 않을 겁니다."
시아,"조지 씨, 시아입니다."
시아,"네... 귀빈께서 알아챘습니다. 어디까지 알아냈는지는 아직 모릅니다. 현장 확인 결과, 생산 일지, 납품서, 위탁 생산 허가증... 그리고 '적양파' 두 병을 가져갔습니다."
나레이션,(통신 너머의 목소리를 들은 시아의 무표정한 얼굴에 아주 미세한 변화가 생겼다. 왼쪽 눈썹이 1픽셀 정도 올라간 정도였다.)
시아,"지금 바로, 말씀입니까?"
시아,"...아니요, 이의 없습니다. 다만 퇴근 시간까지 이제 한 시간도 안 남았습니다..."
시아,......
시아,"한 시간 안에, 말씀입니까?"
나레이션,"(시아는 무의식적으로 몸에 달린 장식품을 어루만졌다. 늘 굳어 있는 냉담한 얼굴과는 달리, 그 장식은 지나치게 귀여웠다.)"
나레이션,"(그녀는 잠시 계산하듯 침묵하더니, 몇 초 뒤 긍정의 답변을 내놓았다.)"
시아,......
시아,"네, 알겠습니다."
시아,...이제 52분 30초 남았네요.
