마키아토,적들은 다 처리했나?
리바,잠잠해진 것 같아.
나레이션,"(갑자기 이상한 소리가 창고 밖에서 계속해서 들려왔고, 카리나는 그 소리를 듣고 미간을 찌푸렸다.)"
카리나,치안 부서의 사이렌 소리야.
나레이션,"(창고 밖에서는 계속해서 차량 급정거 소리가 들렸고, 여러 사람의 발소리 또한 그들의 위치로 점점 가까워지고 있었다.)"
치안 부문 인원,여기는 LVI-13 치안 순찰대. 즉시 무기를 내려놔라!
카리나,여기는 비정규무력관리국 소속 외근 인원이다. 임무 수행 중이다!
카리나,너희는 간섭할 권한이 없다!
치안 부문 인원,네가 그렇다면 그런 거냐!
치안 부문 인원,무기 내려놔. 신원 확인을 해야겠다. 그렇지 않으면 강제 진압에 들어가겠다!
나레이션,"(상대방의 말투는 매우 강경했고, 언제라도 강제 진압을 할 기세였다. 카리나는 리바에게 진정하라는 손짓을 했다.)"
카리나,"상대는 치안 부서라, 우리가 직접 총을 쏘기는 곤란해."
리바,"아무래도 첫 번째 강탈 시도가 실패했으니, 이제 비열한 수를 쓰려는 모양이군."
카리나,"상대방도 우리에게 직접 손대기는 어려울 거야… 일단 저들이 뭘 하려는지 보고, 상황에 맞춰 행동하자."
나레이션,"(카리나는 다른 인형들에게 손짓했고, 인형들은 재빨리 헬레나가 든 상자를 어두운 곳으로 숨겼다.)"
카리나,이미 증원을 요청했어. 15분 안에 우리 인원이 도착할 거야.
리바,…그때까지 버틸 수 있으면 좋겠는데.
나레이션,"(카리나는 고개를 끄덕이고, 이내 목을 가다듬고 밖을 향해 외쳤다.)"
카리나,우리는 이미 무기를 내려놓았다. 들어와도 좋다!
??,"치안 부서 여러분, 번거로우시겠지만 창고로 들어와서 검사하십시오."
??,"안에 루련의 고위 관리가 있을 가능성이 높으니, 정중하게 이쪽으로 모셔오게."
치안 부문 인원,예!
나레이션,"(치안 부서의 무장 인원들이 창고 안으로 들어왔고, 카리나는 손을 들고 신분증을 꺼내 보였다.)"
카리나,나는 비정규무력관리국 산하 제3분국 2급 참사 겸 지역 보안 책임관이다. 현재 특수 외근 임무를 수행 중이다.
치안 부문 인원,무슨 임무?
카리나,네가 알 권리는 없다.
나레이션,"(카리나의 기세에 눌려 무장 인원도 경거망동하지 못했다. 그는 신분증을 받아 훑어본 뒤, 대장으로 보이는 사람에게 건넸고, 그 사람은 멀리 걸어가 다른 흐릿한 인영에게 그것을 넘겼다.)"
나레이션,"(그녀가 카리나의 시야에 들어온 순간, 그녀의 신경은 즉시 곤두섰다—)"
나레이션,"(그녀 앞에 서 있는 것은 인간이 아니라, 옷차림이 단정한 3세대 인형이었다.)"
나레이션,"(그녀가 입은 정장은 완벽하게 재단되었고, 몸짓 하나하나에서 우아하고 차분한 기품이 풍겼다. 마치 귀족 저택의 잘 훈련된 상급 집사 같았다.)"
나레이션,"(그녀는 살짝 몸을 숙여, 거의 공손한 태도로 카리나의 신분증을 살폈다. 부드러운 손가락으로 넘기는 동작은 유려하고 아름다웠다.)"
나레이션,"(이윽고 그녀는 고개를 들었다. 입가에는 온화하고 예의 바른 미소가 걸려 있었지만, 눈빛은 마치 오래된 대저택의 아름답지만 어딘가 불안하게 만드는 도자기 같았다.)"
나레이션,"(표면은 매끄럽고 완벽했지만, 그 안에는 어딘가 오싹하게 만드는 특질이 숨겨져 있었다.)"
??,알고 보니 비정규무력관리국의 참사 각하이셨군요. 이런 식으로 각하를 대접하게 되어 대단히 죄송합니다. 정말 실례가 많았습니다.
카리나,"너희들, 참 빠르고 예의도 바르구나."
