나레이션,"(어느 날, 네메시스의 말에 ‘네메시스 POD’의 도움을 받아 네메시스와 함께 치즈를 만들던 기억이 떠올랐다.)"
네메시스,"……회고, 불완전한 발자국……짙은 구름으로 뒤덮인 바다……"
네메시스,"……연소하는 이삭……내뿜는 불길, 딱딱한 늪지대를 형성……"
네메시스,……뒤틀린 물 자국……바다 짐승의 다리……
지휘관,"으윽, 무슨 말이야?"
네메시스,"……숨결, 흐린 바다 위를 떠다니고……강바닥에 응집된 자갈……"
네메시스,"……희미한 공기 속에서 사라진, 낯익은 흔적처럼……"
네메시스,"……교차, 새로운 도안을 형성……"
네메시스,"……희미한 안개 속에 반짝이는, 이름 없는 쌍둥이별……"
네메시스,"……엇갈림, 융합……연소하는 핵심……"
네메시스,"……꿰뚫음, 야수의 비명……침투, 신체의 붕괴……"
지휘관,"네메시스, 잠깐만... 메이링이 POD 고쳐놨던 게... 아, 여기 있다."
네메시스,…………
네메시스,"……채집, 황량한 사막의 새싹……엮고, 풀고……"
“네메시스 POD”,"<i>……만남 이후의 시간들, 좋아해, 자주 되새기곤 해……</i>"
네메시스,"……비슷한 도형, 햇빛 위로 표류……해가 뜰 때……"
“네메시스 POD”,"<i>……그림자 길게 늘어진 돛배가 유영하던, 우리가 처음 만났던 그때……</i>"
네메시스,"……노래, 뭇별의 운동……폭포에 나타난, 반사된 그림자……"
“네메시스 POD”,"<i>……오랜 시간, 유지……</i>"
지휘관,어쨌든... 지금 이 상황이 오래 계속되길 바란다는 거지?
네메시스,"……진동, 흐르는 계곡물 아래……"
“네메시스 POD”,"<i>……미묘, 약간 다른 의미……</i>"
네메시스,"……맹렬, 어두운 밤 몰아내는 날개……조석의 리듬, 변화……"
“네메시스 POD”,"<i>……정체 모를 기계, 옆으로 던져버려……</i>"
네메시스,"……작열통, 바닷물 속 골짜기……용암과 바닷물의 연결……"
“네메시스 POD”,"<i>……진정한 이해란, 두 사람을 직접 이어주는 것……</i>"
지휘관,"응, 언젠가 우리가, 다른 사람의 도움 없이 직접 소통하길 원하는 거지?"
네메시스,훗...
지휘관,"알았어, 네메시스."
