나레이션,(리바와 로벨라는 격리문이 위치한 구역의 보안 시스템을 확인했다.)
로벨라,"설계는 꽤 정교하지만, 정부의 보안 시스템에 비하면 조금 떨어지네요..."
로벨라,"원칙적으로 루련이 사용하는 시스템은 모두 ""헤리""가 일괄적으로 구축하고 관리해서, 높은 수준의 안전성을 보장하는데... 왜 전임 수석은 굳이 새로운 보안 시스템을 개발한 걸까요?"
리바,"정부의 보안 시스템을 이용해 이 발전소를 보호하려면, 상부의 협조를 요청해야 하지.|어쩌면... 그 과정에 무슨 방해가 있었을지도."
로벨라,"그러니까... ""헤리""가 간섭을 받았다는 말인가요?"
리바,"글쎄. 아마 전임 수석도 그 경우를 대비해서, 격리문의 보안 시스템만은 지라드 그룹에 맡기지 않고 독자적으로 만든 걸지도."
로벨라,...아마도 전임 수석이 미약하게나마 권한을 행사한 모양이네요.
리바,응. 뚫는 게 조금 어렵긴 하지만... 그래도 지라드가 개입하지 않았으니 백도어 걱정은 없겠지.
리바,"지금 발전소의 레벨 2 플랫폼은 모두 로컬 모드로 전환됐어. 누군지 모를 그 인물이라도 백도어가 없는 곳에까지 손을 쓰는 건 거의 불가능하겠지. 즉, 해킹 과정에서 추가적인 방해는 없을 거야."
로벨라,권한 인증 잠금은 모두 다섯 단계. 단순히 해킹하는 것만 해도 만만치는 않겠어요.
리바,하지만 겨우 찾은 돌파구잖아?
리바,"일단 접속 끊자. 기술자들이랑 상의해서 연산력을 분배할게. 증원이 제때 도착하고 우리도 서두른다면, 몇 시간 안에 해결할 수 있을 거야."
