??,<size=32>으릉!</size>
지휘관,어? 이게 무슨 소리지...
지휘관,파파샤?
나레이션,(파파샤의 숙소 문을 두드렸지만 아무 반응이 없어서 그냥 문을 살짝 열고 들어갔다.)
파파샤,아! 지휘관님...
파파샤,오신 줄 몰랐어요... 도와드릴 게 있나요?
지휘관,"아냐, 그냥 들어와 봤어."
지휘관,이 슈퍼 디너게이트는?
나레이션,(파파샤의 발빝에 슈퍼 디너게이트 한 마리가 고개를 들고 나를 물끄러미 바라보았다.)
나레이션,(방금 소리는 이 디너게이트가 낸 건가?)
파파샤,"헤헤, 크세니아 동지가 저번에 도와준 보답으로 준 거예요."
파파샤,"다른 분들 일을 도와드리려고 물어봤는데, 다들 물건만 운반할 줄 아는 슈퍼 디너게이트는 별로 안 필요한 것 같더라고요..."
파파샤,그래서 개조해서 '반려동물'로 만들어볼지 생각 중이에요. 그러면 외근 스케줄이 없을 때 즐겁게 해줄 수 있지 않을까요?
파파샤,예전에 일하던 위성도시에서는 로봇을 반려동물로 삼는 게 유행했거든요.
지휘관,좋은 생각이야. 그런데 슈퍼 디너게이트는 동물을 흉내내는 기능이 없어서 반려동물로는 친화력이 좀 부족하지 않아?
파파샤,"그게 바로 지금 제가 하고 있는 일이에요, 지휘관님! 실제 반려동물처럼 생동감 있게 개조하려고, 동물의 행동 양식에 대해서 공부하고 있어요!"
파파샤,"아, 그러고 보니 마침 잘 오셨어요! 사람들에게 정서적인 도움을 주려면 슈퍼 디너게이트가 어떤 행동을 하면 좋을까요? 혹시 상황 예시를 몇 가지만 들어주실 수 있을까요?"
지휘관,"좋아, 어디 보자..."
지휘관,"아, 생각났다. 작전을 마치고 돌아와서 좀 피곤할 때?"
파파샤,'외출했던 주인이 돌아온 걸 보는' 상황이네요... 음...
파파샤,"자료에 따르면, 진짜 반려동물은 주인이 외출을 하면 사냥을 하러 간다고 생각한대요. 그래서 사냥에 나간 주인이 무사히 돌아오길 문 앞에서 기다리고, 주인이 돌아오면 주위를 빙빙 돌며 주인의 안전을 확인하고는 최대한 열정적으로 주인을 반긴다고 하더라고요."
파파샤,"슈퍼 디너게이트라면 문을 열기 전에 문 앞에서 기다리고 있다가, 주위에서 빙빙 돌면서 꼬리를 흔들어야겠죠?"
지휘관,"오, 누군가가 내가 돌아오길 기다린다면 기분이 정말 좋을 것 같아."
지휘관,감정을 표현하는 소리까지 있으면 더 좋겠는걸?
파파샤,"역시 지휘관님, 제가 놓친 디테일까지 생각하시네요."
파파샤,지휘관님은 누군가가 자신이 돌아오는 걸 기다리길 바람. 지휘관님이 외출했다 돌아올 때를 잘 맞춰서 문 앞에서 맞이할 것...
파파샤,감정을 표현하는 소리 추가하기...
파파샤,"됐다, 기록했어요. 지휘관님의 바람은 제가 만족시켜드릴게요!"
지휘관,...방금 이상한 걸 적은 것 같은데...?
파파샤,네? 그냥 지휘관님을 만족시킬 방법을 기록한 건데요.
파파샤,그런데 상황 하나로는 부족해요. 하나 더 말해주세요.
지휘관,"으음, 슈퍼 디너게이트가 외근 안 나간 사람들과 같이 있어주길 원하는 거라면..."
지휘관,그럼 '일정이 널널해서 좀 심심하다고 느낄 때' 는 어때?
파파샤,어? 그런 상황이 나올 수가 있나요? 거기다 자료에도 안 나오는 것 같은데...
파파샤,"음... 괜찮아요, 생각해낼 수 있어요!"
지휘관,"긴장할 필요 없어, 따로 정답이 없는 문제니까."
지휘관,심심할 땐 뭘 해도 재밌겠지. 누군가 같이 있어주기만 한다면 말이야.
파파샤,"아, 그러니까 지휘관님은 누군가가 곁에 있어 주기를 원하시는 거군요?"
파파샤,"자료를 조금 더 살펴볼게요... 반려동물은 주인과 함께 있을 때 스킨십으로 애정과 관심을 표현하는 걸 좋아하고, 가끔은 주인에게 같이 놀자고 하기도 한다. 때로는 그냥 아무것도 하지 않고 주인 곁에 엎드려 있는 걸 즐기기도 한다..."
파파샤,"그럼 사람들이 심심할 때 슈퍼 디너게이트가 찾아가서 같이 놀자고 하면 좋겠네요? 캐치볼, 프리스비, 달리기 같은 게 반려동물과 주인이 함께 즐기는 놀이 같아요."
