뉴스 아나운서,긴급 속보를 전해드립니다. ODE-01 위성도시에 소규모 강도 사건이 발생했습니다. 용의자들은 민가를 습격하고 Z9 구역 방향으로 도주 중입니다. 현재까지 민가 4곳이 재산 피해를 입었고 인명 피해는 아직 없습니다. 현재 체포 작전이 진행 중이며 도시 봉쇄령이 발령되었습니다. ODE-01 위성도시 주민들께서는 사건에 휘말리지 않도록 봉쇄령이 해제될 때까지 실내에 머물러 주시기 바랍니다.
지휘관,강도 사건...?
나레이션,(성큰식 위성도시 ODE-01의 철도역.)
나레이션,(밤이 될 때까지 그로자 쪽에선 소식이 전혀 없었다.)
나레이션,(나는 열차 시간 정보를 표시하던 스크린에 갑자기 나타난 뉴스 화면을 보고 불길함을 느꼈다.)
나레이션,"(다음 순간, 스크린 속 뉴스 영상에 그로자의 모습이 나타났다.)"
나레이션,"(나는 바로 통신기를 꺼냈지만, 위성 도시의 영향권 안에서는 언제나 감청의 위험성이 있다는 것을 떠올렸다.)"
지휘관,...칫.
열차역 방송,"승객 여러분, 잠시 후 오데사에서 크리비리흐로 가는 OK02 대륙간 장거리 여객 열차가 플랫폼에 진입합니다. 탑승객 여러분께서는 놓고 가시는 물건이 없는지 확인하시고, 개찰구로 이동해 주시기 바랍니다."
나레이션,(통신기를 집어넣고 주위를 둘러봤다. 그림자 몇 개가 인파에 섞여 내게 접근하려는 것이 보였다.)
나레이션,(나는 바로 몸을 돌려 똑같이 인파에 몸을 숨기고 열차 플랫폼으로 향했다.)
