나레이션,"(다음 날, 정오 무렵——)"
나레이션,"(빨간색 구형 오픈카가 ""퀵클리"" 정비소에 들어섰다. 오픈카에서 나는 이상한 소리에 수리점 주인이 다가섰다.)"
정비소 주인,차 수리할 거요? 거기에 세워두쇼.
나레이션,(가리킨 자리에 세워둔 오픈카를 살펴보던 정비소 주인은 운전석에 앉은 것이 인형이라는 것을 알아차렸다.)
정비소 주인,"이 차, 소리가 좀 이상한데."
크세니아,"좋아, 바로 알아들었네."
크세니아,여기에 세워두면 되죠? 사장님 있어요?
정비소 주인,나요.
크세니아,그러면 고칠 수 있는 지 좀 봐주실래요?
나레이션,(정비소 주인은 크세니아에게 엔진을 끄라고 했다. 그리고 시동이 꺼지자 그는 본네트를 열었다.)
정비소 주인,여긴 어떻게 아셨수?
크세니아,이 가게를 어떻게 알았냐는 말씀이시죠?
정비소 주인,딱 보니까 특별히 여기를 찾아온 것 같은데 말이요.
나레이션,"(정비소 주인이 엔진을 점검했다. 표정은 보이지 않았지만, 크세니아는 그가 경계하고 있다는 것을 눈치챘다.)"
크세니아,"이 거리에 정비소는 엄청 많았는데, 수리할 수 있는 곳은 없더라고요. 그래서 물어 물어 여기까지 왔죠."
정비소 주인,연식이 오래된 차군. 고칠 수 있는 곳이 많지 않아. 그쪽 차요?
크세니아,"아뇨, 고용주의 차예요. 창업에 성공한 후에 처음으로 산 차라고 하더라고요."
정비소 주인,"허허, 좋은 취향이군."
크세니아,"이 차가 ""행운의 차""라서 반드시 고쳐야 한다네요? 하지만 정비소를 몇 군데 다녀봤지만 다들 부품이 없다고 했어요."
크세니아,고칠 수 있다고 했던 곳들도 결국에는 문제를 해결하지 못했고요. 사장님도 안 될 것 같으면 서로 시간낭비 하지 말고 그냥 안 된다고 말해주세요.
나레이션,(크세니아의 말을 들은 정비소 주인은 조금 긴장을 푼 것처럼 웃었다.)
정비소 주인,일단 무슨 문제가 있는지 말해보쇼.
크세니아,엔진이 계속 떨려요. 특히 시동 걸 때요.
정비소 주인,"4기통 엔진인데, 실린더 하나가 제대로 작동을 안 해서 그러는 걸게요."
정비소 주인,"하지만 이건 이미 단종된 부품이야. 지금은 기존 성능의 7, 8할 정도 되는 중고 부품은 원가의 3~4배는 줘야 구할 수 있을 텐데, 감당할 수 있겠수?"
크세니아,3~4배는 너무 비싸요.
정비소 주인,그렇지? 내 생각에도 비싸.
정비소 주인,요즘 이런 실린더를 어디 구하기 쉬운 줄 아쇼? 나도 친구에게 부탁해야 할 테니 그 녀석 인건비도 쳐줘야 겠지.
크세니아,잠깐만요. 고용주하고 상의 좀 해볼게요.
나레이션,"(크세니아는 한쪽에서 통신 단말을 꺼내 나강에게 ""목표 확인""이라는 메일을 보내고 ""고용주""와 통신하는 척을 했다.)"
나레이션,"(1분 뒤, 크세니아가 돌아왔다.)"
크세니아,고용주가 OK 했어요. 차는 여기에 두고 갈게요.
정비소 주인,그러쇼. 그럼 계약금부터 걸고 가시게.
나레이션,"(그날, 늦은 밤——)"
나레이션,"(불빛이 꺼지지 않은 위성도시의 ""퀵클리"" 정비소 근처 3층 건물 옥상에서 두 사람이 쌍안경을 들고 한쪽 방향을 주시하고 있었다.)"
나강,하루 종일 보고 있었는 데도 움직임 하나 없구먼.
나강,"크세니아, 저 가게가 확실한 게냐?"
크세니아,"선배, 보채지 마. 위험한 일을 하는 녀석들은 쉽게 꼬리를 잡히지 않는다고."
나강,맞는 말이긴 하다만. 창문을 꼭꼭 가린 걸 보니 확실히 수상하긴 하군.
모신나강,"나강, 크세니아. 나 왔어."
나레이션,(모신나강이 두 사람의 뒤에서 모습을 드러냈다. 그녀는 가지고 온 장비 상자를 땅에 놓고 태블릿 PC를 꺼내들었다.)
모신나강,"우리 대원들이 ""펄스 모니터""를 정비소 외벽에 붙여 놨어. 이건 최근에 치안 관리국에서 지급한 최신형이야. 원격으로 모니터링할 수 있어."
모신나강,이 태블릿 PC만 있으면 정비소 내부를 볼 수 있어.
크세니아,"선배, 봉고차 하나가 들어갔어. 얼른 태블릿 좀 줘봐."
