나레이션,"(어느 한가한 오후, 콜펜은 다시 나에게 '절대 무적 콜펜의 스페셜한 웰빙 라이프 서포트 프로그램 MAXPro' 에 관해 이야기하러 왔다.)"
콜펜,말 나온 김에… 지휘관님 요즘 잘 주무시나요?
콜펜,"절대 무적 콜펜의 스페셜한 웰빙 라이프 서포트 프로그램 MAXPro가 한동안 멈춰서, 지휘관님의 수면 상황을 실시간으로 체크하지 못한 게 조금 불안한데…"
지휘관,......
콜펜,"음— 지휘관님, 왜 그런 표정을 하고 계세요?"
콜펜,혹시 또 절대 무적 콜펜의 스페셜한 웰빙 라이프 서포트 프로그램 MAXPro를 차게 될까 봐 걱정되세요?
콜펜,"걱정 마세요, 지휘관님. 그럴 일 없을 거예요~"
콜펜,"데이터를 측정하지는 못했지만, 지휘관님... 음, 안색이 좋아 보이는데요?"
콜펜,프로그램의 서포트 없이도 이미 좋은 수면 습관이 생긴 것 같네요.
지휘관,"…어쨌든, 이해해 줘서 고마워."
콜펜,헤헤~
콜펜,"하지만, 지휘관님의 건강 관리를 완전히 놓아버릴 순 없죠~"
콜펜,지휘관님의 건강은 다른 사람들한테도 가장 중요한 관심사거든요.
콜펜,지휘관님은 스스로에 대한 케어를 거의 안 하시는 거 같아요.
지휘관,아니거든.
콜펜,그러면——여기서 기습 질문!
콜펜,"지휘관님, 오늘 식사는 잘 하셨나요?"
콜펜,"방금 그로자 대장이랑 같이 식량 재고를 조사했는데, 어제 저녁이랑 비교해서 재고가 건빵 두 봉지밖에 안 줄었더라고요."
콜펜,"게다가 그 두 봉지도, 오늘 아침 메이링이 부탁해서 콜펜이 창고에서 꺼낸 거고요."
콜펜,"그럴 줄 알았어요. |지휘관님은 항상 다른 사람 일에는 신경 쓰지만, 자기 건강에 관해선 관심이 없어요."
콜펜,이대로 가다가는 지휘관님이 좋은 생활 습관을 지닐 수 있는 새로운 방법을 생각할 수밖에 없어요.
콜펜,"음, 지휘관님. 프로그램 서포트가 안 익숙하시면, 다른 사람이 알려주는 건 어때요?"
콜펜,"매일 먹고, 자고, 일어나고… 지휘관님이 어디에 있든 일·정·한 시간을 정해서 지휘관에게 알려주는 거죠."
지휘관,윽… 그건 네가 너무 고생이잖아…
콜펜,"아유, 지휘관님. 진짜 콜펜이 힘들까 봐 걱정하시는 거예요, 아니면 거절할 핑계를 찾는 거예요?"
콜펜,하지만 지휘관님의 마음은 완전히 이해해요.
콜펜,…난…
콜펜,"…지휘관님이 10년 전의 꿈에 대해서 말씀하셨던 것처럼,|…누구나… 마음속에 간직한 비밀이 있어요…"
콜펜,"비밀을 털어놓지 못하면, 영원히 마음속 깊은 곳에 묻힌 상처가 될 거예요."
콜펜,"아… 지휘관님, 이러면 어때요?"
콜펜,"콜펜이 힘든 게 싫으시다면, 의식적으로 일정을 지키고, 제때 밥 먹고, 제때 휴식하시면 돼요——"
콜펜,"더 중요한 건, 어려운 일이 생기면 콜펜한테 와서 털어놓으시는 거예요."
콜펜,"콜펜이 지휘관님 문제를 해결해 줄 수는 없지만, 아무튼 누군가랑 대화하면 마음이 조금 더 편해지잖아요, 그렇죠?"
콜펜,"좋아요 싫어요? 약속하세요, 지휘관님~"
지휘관,...좋아.
콜펜,와아! 지휘관님이 약속했다!
콜펜,"그러면, 약속한 거예요~ 콜펜이랑 약속한 건 꼭 지키셔야 해요~"
콜펜,"세상에서 가장 착한 지휘관님이시니까, 분명 콜펜을 실망시키진 않겠죠?"
지휘관,"응, 걱정하지 마."
