나레이션,"(스토리가 중반에 이르렀을 때, 리바가 잠시 쉬자고 제안했다.)"
리바,생각했던 것보다도 재미있네. 역시 지휘관이랑 함께 해서 그런 것 같아.
지휘관,그런 걸로 놀리지 말아줄래... 하지만 인정은 해야겠네. 예상보다도 스토리가 재미있어.
리바,"응, 중간중간에 흥미로운 부분이 꽤 많더라."
리바,갱단 보스를 암살하는 장면에서 지휘관은 역시 무고한 인형에게 피해가 갈까 봐 임무를 포기했잖아.
리바,지휘관이 할 법한 선택이라고 생각했어. 하지만 그건 인형이 할법한 선택은 아니지 않아?
지휘관,"이 게임은 임무 달성이 클리어 조건은 아니니까. 뭐, 그래도 상관 없지 않나?"
리바,그러니까 지휘관은 인형이 아니라는 거야... 물론 그러는 편이 더 흥미롭긴 하지만.
리바,"이 게임의 설정은 우리 인형이랑 비슷해. 기억을 자유롭게 다운로드하고 업로드할 수 있으니까, 죽음이라는 개념이 없지. 진짜 인형이라면 그걸 전제로 움직일걸?"
지휘관,하지만 나는 인형이 백업 마인드맵을 사용하면 일부 기억을 잃을 수 있다는 걸 알고 있잖아. 그건 윤리적으로 결코 가벼운 문제가 아니라고 생각해.
지휘관,"난 이게 게임이 파놓은 함정이라고 생각해. 다른 사람을 경멸하면서, 어떻게 악의 세계에서 벗어나 자유를 추구할 수 있겠어?"
리바,"예리하네, 지휘관. 게임할 땐 그렇게 긴장하지 말고, 조금은 편하게 즐겨도 되잖아?"
리바,나처럼 게임 속에서는 마음대로 행동하는 캐릭터를 선택해도 되잖아.
리바,"작전을 실패한 인형이 있으면 처벌하고, 뜻을 거스르면 총으로 제거하는 거지... 임무가 최우선이니까."
지휘관,"그것도 꽤 효율 좋은 방식인 것 같긴 한데, 그건 네 스타일은 아닌 것 같은데."
리바,게임이잖아. 흐름에 따라가려면 그에 어울리는 선택을 해야지. 지휘관이 너무 자기감정을 억누르고 있다고는 생각 안 해봤어? 결국 이건 갱단이 소재가 된 게임이니까 빠져나가기 전에는 한 번쯤은 막무가내로 굴어도...
리바,어어어? 뭐야... 이렇게 했는데 왜 포위당한 거지...
리바,"아아, 이거 뭔가 조금 익숙한 전개가 될 거 같은데?"
지휘관,네가 너무 튀는 행동을 해서 다른 갱단의 눈에 띄어서 그런 거 같은데. 게임의 흐름대로라면 곧 적의 습격이 있겠지? 최대한 머리를 굴려서 부하들이랑 함께 포위망을 돌파해 봐.
리바,"하아, 진짜 골치 아픈걸... 자, 패드 줘. 캐릭터를 한 번 바꿔보자."
지휘관,"..잠깐만, 이건 네가 고른 루트잖아?"
리바,우리 둘 다 게임의 주인공이잖아? 난 그냥 가장 효율적이고 실행 가능성이 높은 루트를 선택했을 뿐이야.
리바,하지만 지휘관의 지휘 능력은 나보다 더 뛰어나지? 그러니까 이번 스테이지에서 더 나은 보상을 받을 수 있을 거야.
리바,가지고 있는 모든 자원을 활용해서 목적을 달성하는 것... 이게 전술인형의 로직 시스템에서 흔히 쓰이는 추론 방식이거든?
지휘관,"그렇긴 하지... 기왕 리바가 부탁했으니까, 다음 전투에서는 조금 멋있게 활약해 볼까."
리바,"게임 설명대로라면 거의 희망이 없어 보이던데. 하지만 지휘관이 얼마나 할 수 있을지, 부하를 얼마나 잘 지킬 수 있는지 지켜봐야겠네."
리바,"그럼, 기대하고 있을게? 지휘관, 한 번 능력을 보여줘."
