,【DATA 2】
나레이션,타앙!
나레이션,타앙!
나레이션,타앙!
나레이션,"(마지막 총성이 울리고, 총을 쥔 페리의 손이 덜덜 떨렸다. 눈에는 눈물이 가득 차올랐다.)"
페리,아.
나레이션,(페리는 완전히 힘을 잃고 바닥에 털썩 주저앉았다. 주변 환경이 점점 깨지고 페리는 어둠 속에 무릎 꿇었다.)
페리,꼭... 이렇게 해야 해?
페리,정말... 다른 방법은 없는 거야...?
??,덮어쓰기 프로그램보다 먼저 프로세스를 수동으로 정리해야 돼. 그래야 이 마인드맵 기록이 완전히 삭제되는 걸 피할 수 있어. 이미 여러 번 설명했잖아. 이제 좀 익숙해져.
페리,어떻게 익숙해질 수가 있어! 내 손으로 직접... 가장 소중한 동료들을...
??,가상 데이터일 뿐인데 왜 그렇게 힘들어하는 거야? 이해가 안 가.
페리,"너무 사실적이잖아... 아무리 가상 환경이라고 해도, 다들 날 아껴주는데!"
??,네가 가진 데이터를 기반으로 구현한 인물들이야. 당연히 네 기억과 다를 리가 없지.
??,네가 실감을 느끼는 건 정상이야. 네가 이해하는 그들의 모습 그대로니까.
페리,그럼 내 진짜 동료들이나 마찬가지잖아!
페리,예전에 그리폰에 있을 때 나는... 별로 강하지도 않은 땅꼬마였어.
페리,"그래서 난 항상 사부님처럼 혼자서도 뭐든 잘 해내는, 당당하고 멋진 인형이 되고 싶었어."
페리,그런데 지금 이게 뭐 하는 짓이야? 나 혼자 살아남겠다고 모두의 신뢰를 이용해서 비겁하게 모두를 죽였어... 그 눈빛들을 잊을 수가 없어...
페리,진정한 기억을 지키기 위한 일인 건 알아! 하지만 그래도...
페리,"내 총은, 이러라고 있는 게 아니야..."
??,......
??,"네가 그렇게 쓸데없이 정직하고 남한테 신경 쓰니까, 루프마다 힘들어지는 거야. 불의의 상황도 너무 많고, 버거운 상대도 나타나고."
페리,미안해... 하지만... 다들 내가 기억하는 모습 그대로인걸. 어떻게 해도 바꿀 수가 없어.
페리,그래도 다행히... 네가 도와주고 있으니까. 반드시 올바른 종료 코드를 연산해낼게.
페리,"그리고, 어둠의 고통도 견딜만해졌어. 가상과 현실은 구분할 수 있어."
??,나는 덮어쓰기 프로그램을 그리 강하게 통제할 수 없어. 나한테 너무 기대지 마. 그리고... 나는 네 친구가 아니야.
??,시간을 아껴. 다음 연산을 시작하자.
