나레이션,"(같은 시간, 이동 중인 블루스피어가 코쿤에게 정기 보고를 하고 있었다.)"
블루스피어,...정보 수신. 목표를 찾아낸 것으로 보입니다.
코쿤,"축하해, 한참을 뒤져서 겨우 찾았네."
블루스피어,"목표의 이동 속도는 예상치의 40% 이상입니다. 또한 이동 경로 예측에도 약간의 오차가 발생하여, 회수 시간도 함께 지연됐습니다."
코쿤,"그럼 서둘러야겠네. 그리고 내가 보낸 증원, 제법 쓸만하지? 아, 매그니 시큐리티 말하는 거야."
코쿤,그래서 목표 사살은 성공했어? 실패했다면 내가 겨우 인맥을 동원해서 따낸 수송 의뢰를 낭비한 건데.
블루스피어,아니.
블루스피어,루련의 환경조사부대와 전술인형 4기가 현장에 있었습니다. 이 때문에 회수가 곤란하여 일단 놓아주었습니다.
블루스피어,"대신 이미 추격 병력을 보냈습니다. 반드시 부점을 처리하고 ""그것""을 회수하겠습니다."
코쿤,"어휴, 정말 고생이 많네."
코쿤,"회수를 우선시하면서, 기회를 봐서 녀석들까지 정리하는 거 잊지 말고."
코쿤,우리 사랑스런 전장청소부대 대장님~
블루스피어,알겠습니다.
블루스피어,기지국 파괴는 순조롭게 진행 중입니다. 곧 저들은 모든 통신 수단을 잃게 될 겁니다.
블루스피어,"장비 수준이 매우 평범해서, 제가 나서지 않아도 매그니 시큐리티 선에서 쉽게 정리할 수 있을 겁니다."
코쿤,조심하는 게 좋을 거야. 지금까지 일이 잔뜩 꼬인 것도 다 상대를 얕본 탓이니까.
코쿤,인간은... 정말 재미있는 생물이야. 궁지에 몰릴수록 더욱 강해지지.
코쿤,"그러니까 조심해, 궁지에 몰린 쥐에게 결정적일 때 도리어 물리지 않도록."
블루스피어,"알겠습니다, 신중을 기하겠습니다."
코쿤,"그럼 이만 끊을게. 아~, 다른 친구한테도 어서 연락해야지."
코쿤,다츄어도 블루스피어의 딱 반만 대견해지면 좋을 텐데.
