마키아토,다 해치웠나?
리바,"응, 조용해진 것 같네."
나레이션,(갑자기 창고 바깥에서 소음이 연달아 들려왔다. 카리나는 그 소리를 듣고는 눈살을 살짝 찌푸렸다.)
카리나,치안관리국의 사이렌 소리예요.
나레이션,"(창고 밖에서 차들이 멈춰 서는 소리가 끊임없이 들려왔고, 이어서 여러 명의 발소리가 일행의 위치로 점점 다가왔다.)"
순찰대원,LVI-13 치안 순찰대다. 즉시 무기를 버려라!
카리나,저흰 비정규무력관리국 요원입니다. 현재 공무 수행 중입니다!
카리나,귀측에서 간섭할 권리는 없습니다!
순찰대원,그걸 우리가 어떻게 믿나!
순찰대원,무기 버려! 신원 확인을 받아라. 불응할 시 무력행사로 대응하겠다!
나레이션,"(상대의 말투는 매우 강경했고, 언제든지 무력을 행사할 기세였다. 카리나는 리바에게 진정하라는 제스처를 취했다.)"
카리나,상대는 치안관리국이에요. 발포하면 곤란한 상황이 될 거예요.
리바,"강탈 작전이 어그러지니까, 이젠 비겁한 수를 쓰겠다는 거네."
카리나,하지만 저쪽도 우릴 무작정 공격할 순 없을 거예요... 일단 저들이 어떻게 나오나 지켜보죠.
나레이션,"(카리나가 인형들에게 손짓하자, 인형들은 헬레나가 담긴 상자를 구석에 숨겼다.)"
카리나,지금 증원을 불렀어요. 15분 내로 도착할 거예요.
리바,...그때까지 버틸 수 있으면 좋겠는데.
나레이션,"(카리나는 고개를 끄덕이더니, 곧바로 목청을 가다듬고 밖을 향해 소리쳤다.)"
카리나,무장 해제했습니다! 들어오시죠!
??,"치안국 여러분, 창고 점검을 부탁드리겠습니다."
??,내부에 루련 고위 관료가 계실 가능성이 큽니다. 정중하게 이쪽으로 모셔 오세요.
순찰대원,라저!
나레이션,(치안관리국의 무장 병력이 창고로 들어왔다. 카리나는 손을 들고 신분증을 꺼냈다.)
카리나,"저는 비정규무력관리국 제3분국, 2급 참사관이자 지역 안전담당관입니다. 현재 특별 파견 임무를 수행하고 있습니다."
