나레이션,"(어느 맑은 날, 드셰브니가 숙소에서 나와 함께 휴가 동안 있었던 일화를 회상했다...)"
드셰브니,모래시계 속의 모래는 시간에 갇힌 흉기일지도 모른다...
드셰브니,"아, 그... 그러니까 내 말은... 당시에는 내가 하고 싶은 것을 제대로 표현하지 못해서, 말도 안 되는 소리를 했다는..."
드셰브니,"곧 지휘관에 의해 진상이 밝혀졌지만, 결과는 괜찮았다. 하지만 돌이켜보면 꽤 부끄럽다..."
드셰브니,"지휘관도 내가 하는 말이, 음, 가끔 이상하거나 이해하기 어려운가?"
지휘관,음... 아주 특별하지.
드셰브니,그건 이상하다는 소리 아니냐!
드셰브니,"사실 나, 나도 일부러 이러는 건 아니다..."
드셰브니,"하지만, 어떻게 표현해야 할지 몰라서 적당한 말을 찾지 못할 때, 마치 어떤 신비한 힘이 나를 제어하는 듯한..."
드셰브니,"아, 인형은 원래 마인드맵 프로그램의 제어를 받아서 행동하긴 하지만..."
드셰브니,"어쨌든, 지휘관은 내 말을 이해할 수 있는가? 만약 내가 그대를 힘들게 한다면... 최선을 다해 말살... 아니, 최선을 다해 조정하고, 수정하겠다..."
지휘관,"...네 말은 마치... 음, 마치 예언의 서에 나오는.. 계시처럼 선명...?"
드셰브니,...어?
드셰브니,"지, 지휘관, 그대는 지금... 내 말을 모방하고 있는 것인가?"
드셰브니,에헤... 에헤헤...
드셰브니,"이런 느낌이었군. 지휘관, 아주 잘 모방하였다!"
드셰브니,"고맙다, 지휘관. 나, 나를 기쁘게 해주고 싶어서 이렇게 한 것이지?"
드셰브니,"그대의 보살핌을 받으니... 마치, 마치 눈보라 속에서 곧 얼어 죽을 위기에 처했던 나그네가 한 줄기 불빛을 발견한 듯하다."
드셰브니,"그러니까, 음... 많이 침착해진 것 같다."
지휘관,"천만에, 나에게도 드셰브니는... 마치 흰 안개를 가르는 칼날 같달까? 아, 이 비유는 적절하지 않은 것 같은데..."
드셰브니,지휘관... 지금 나를 칭찬한 것인가?
드셰브니,"흰 안개, 칼날... 나도 대단하다는 뜻인가?"
드셰브니,"난, 솔직히, 방금 전까지도..."
드셰브니,"... 나는 내가... 다른 인형들과 비교했을 때, 마치 모험 이야기 속 평범한 몬스터처럼 하찮다고 생각했다!"
드셰브니,하지만 지휘관은 나를 '칼날'이라고 불러주었다.
드셰브니,음... 이 호칭이 훨씬 멋지다! 더 마음에 든다!
드셰브니,"이 호칭에 걸맞는 존재가 될 수 있도록, 더욱 노력하겠다."
드셰브니,"음, 칼날이든, 동료든, 평범한 몬스터라도 상관없다..."
드셰브니,지휘관과 함께 우리만의 모험 이야기를 써나가고 싶다!
지휘관,응.
