나레이션,（리바와 로벨라가 격리문 구역의 보안 시스템을 점검했다.）
로벨라,"설계는 꽤 견고하지만, 정부 보안 시스템만큼은 아니야……"
로벨라,"원칙적으로 루련이 쓰는 시스템은 ‘헤리’가 통합 구축·관리해서 안전성이 높은데, 왜 전임 수석은 굳이 새 시스템을 만들어 여기 보안을 맡겼을까?"
리바,정부 보안 시스템을 쓰려면 상부 협조가 필요했을 텐데.|아마… 그 사이에 무슨 방해가 있었겠지.
로벨라,설마…… ‘헤리’가 조작당했다는 거야?
리바,모르지. 아마 전임 수석도 대비 차원에서 격리문 보안을 따로 만들고 지라드에게 맡기지 않은 걸 거야.
로벨라,……여기가 그가 가진 권한을 쓸 수 있던 몇 안 되는 곳이었겠지.
리바,응. 뚫기 어렵긴 해도 지라드가 개입 안 해서 백도어도 없다는 게 다행이야.
리바,"지금 발전소 레벨 2 플랫폼은 로컬 모드야. 비밀 인물이 백도어 없는 보안 시스템을 건드리긴 힘들어, 즉 우리가 뚫을 때 추가 방해는 없겠지."
로벨라,"권한 인증 잠금이 5단이라, 해킹만으로도 쉽진 않다."
리바,그래도 드문 돌파구야.
리바,"일단 나가자. 기술자들과 연산 자원을 배분하고, 증원이 제때 오고 우리도 서두르면, 몇 시간 안에 끝낼 수 있어."
